nome,preco,ano,km,vendedor,localização,link,historico,vistoria,marca,motor
Hyundai Ix35 2.0 Mpfi Gl 16v Flex 4p Automático,85900.0,2018,93086,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-5048358762-hyundai-ix35-20-mpfi-gl-16v-flex-4p-automatico-_JM#position%3D18%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Hyundai,2.0
Mitsubishi L200 Triton L200 Triton Aut. Cd,91000.0,2012,196000,Vendedor indepedente,Ilhéus,https://carro.mercadolivre.com.br/MLB-5035161114-mitsubishi-l200-triton-l200-triton-aut-cd-_JM#position%3D19%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Mitsubishi,Não informado
Jeep Renegade 1.8 Flex Aut. 5p,58000.0,2016,110000,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-5036502428-jeep-renegade-2016-18-flex-aut-5p-_JM#position%3D20%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,0,0,Jeep,1.8
Hyundai Hb20x Evolution 1.6 (aut) (flex),81700.0,2022,49232,Por Seminovos Movida,Salvador,https://carro.mercadolivre.com.br/MLB-3836005393-hb20x-evolution-16-aut-flex-_JM#position%3D21%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,1,Hyundai,1.6
Volkswagen Polo Track 1.0 Flex 12v 5p,77890.0,2024,35210,Por Seminovos Movida,Salvador,https://carro.mercadolivre.com.br/MLB-3833149975-polo-track-10-flex-12v-5p-_JM#position%3D22%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,1,Volkswagen,1.0
Fiat Toro 1.3 Turbo 270 Flex Freedom At6,119900.0,2022,47807,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-3841146737-fiat-toro-13-turbo-270-flex-freedom-at6-_JM#position%3D23%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,1,Fiat,1.3
Ford Focus Ti 2lhcflex,39900.0,2012,109000,Vendedor indepedente,Lauro de Freitas,https://carro.mercadolivre.com.br/MLB-5056667726-ford-focus-ti-2lhcflex-2012-_JM#position%3D24%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Ford,Não informado
Volkswagen Polo Track 1.0 Flex 12v 5p,78270.0,2024,24717,Por Seminovos Movida,Salvador,https://carro.mercadolivre.com.br/MLB-5031178416-polo-track-10-flex-12v-5p-_JM#position%3D25%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,1,Volkswagen,1.0
Mercedes-benz Classe Gla 2.0 Vision Turbo 5p,120000.0,2015,90000,Vendedor indepedente,Vitória da Conquista,https://carro.mercadolivre.com.br/MLB-5044939124-mercedes-benz-classe-gla-2015-20-vision-turbo-5p-_JM#position%3D26%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,0,0,Mercedes-benz,2.0
Renault Kwid 1.0 12v Sce Flex Zen Manual,47790.0,2022,23101,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-3832943039-kwid-10-12v-sce-flex-zen-manual-_JM#position%3D27%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,1,Renault,1.0
Volkswagen Virtus 1.6 16v Msi 4p,64880.0,2019,66000,Vendedor indepedente,Porto Seguro,https://carro.mercadolivre.com.br/MLB-5033613218-volkswagen-virtus-2019-16-16v-msi-4p-_JM#position%3D28%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,0,0,Volkswagen,1.6
Volkswagen Crossfox 1.6 Msi Flex 16v 4p Automatizado,54900.0,2016,115000,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-5048368792-crossfox-16-msi-flex-16v-4p-automatizado-_JM#position%3D29%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,0,0,Volkswagen,1.6
Nissan Kicks 1.6 16v Flexstart S 4p Manual,74990.0,2019,81405,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-3811508693-kicks-16-16v-flexstart-s-4p-manual-_JM#position%3D30%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Nissan,1.6
Jeep Compass 2.0 16v Flex Sport Automático,95990.0,2020,67264,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-3847339951-compass-20-16v-flex-sport-automatico-_JM#position%3D31%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,1,0,Jeep,2.0
Mitsubishi Pajero Full 3.2 Hpe Aut. 5p,159900.0,2016,200000,Vendedor indepedente,Salvador,https://carro.mercadolivre.com.br/MLB-3846971365-mitsubishi-pajero-full-2016-32-hpe-aut-5p-_JM#position%3D32%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da95ca847-1a34-4903-b660-392d43f9b031,0,0,Mitsubishi,3.2
